Humidity,Temperature C,Room Temp,Room Humidity,Dry/Wet
71.2,30.8,30.2,62.3,Dry
77,30.5,30.2,62.3,Wet
84.1,30.4,30.2,62.3,Wet
83.9,30.2,30.2,62.3,Wet
82.7,30.2,30.2,62.3,Wet
84.7,30.2,30.2,62.3,Wet
83.3,30.1,30.2,62.3,Wet
84.2,30.1,30.2,62.3,Wet
86.1,30,30.2,62.3,Wet
86.6,30,30.2,62.3,Wet
87.3,30,30.2,62.3,Wet
83.6,29.9,30.2,62.3,Wet
82.1,29.8,30.2,62.3,Wet
81.4,29.7,30.2,62.3,Wet
68.7,30.2,30.2,62.3,Dry
69,30.3,30.2,62.3,Dry
70.5,30.4,30.2,62.3,Dry
70.6,30.5,30.2,62.3,Dry
72.6,30.7,30.2,62.3,Dry
73,30.8,30.2,62.3,Dry
72.9,31,30.2,62.3,Dry
72.7,31.2,30.2,62.3,Dry
79.8,30.6,30.2,62.3,Wet
86.6,30.6,30.2,62.3,Wet
87.9,30.6,30.2,62.3,Wet
89.1,30.6,30.2,62.3,Wet
89.5,30.5,30.2,62.3,Wet
89.2,30.5,30.2,62.3,Wet
89.7,30.4,30.2,62.3,Wet
90,30.4,30.2,62.3,Wet
88.4,30.3,30.2,62.3,Wet
80.8,30.2,30.2,62.3,Wet
81.3,30.1,30.2,62.3,Wet
84.4,30.1,30.2,62.3,Wet
79,30,30.2,62.3,Wet
82.4,29.8,30.2,62.3,Wet
81,29.8,30.2,62.3,Wet
81.6,29.7,30.2,62.3,Wet
79.9,29.7,30.2,62.3,Wet
81,29.6,30.2,62.3,Wet
69.1,30.2,31,66.5,Dry
69,30.3,31,66.5,Dry
68.6,30.3,31,66.5,Dry
68.4,30.4,31,66.5,Dry
68.2,30.4,31,66.5,Dry
68,30.5,31,66.5,Dry
67.9,30.5,31,66.5,Dry
67.7,30.6,31,66.5,Dry
67.7,30.6,31,66.5,Dry
71.1,30.8,31,66.5,Dry
74.5,30.9,31,66.5,Dry
75.7,31,31,66.5,Dry
73,31.2,31,66.5,Dry
72.7,31.3,31,66.5,Dry
72.1,31.3,31,66.5,Dry
75.8,30.5,31,66.5,Wet
76.1,30.3,31,66.5,Wet
76.4,30.1,31,66.5,Wet
77.7,30,31,66.5,Wet
78.9,29.8,31,66.5,Wet
79.8,29.5,31,66.5,Wet
80.7,29.4,31,66.5,Wet
81.1,29.2,31,66.5,Wet
81.1,29.1,31,66.5,Wet
77.1,29.1,31,66.5,Wet
81.6,29.1,31,66.5,Wet
82.8,29.1,31,66.5,Wet
83.7,29.1,31,66.5,Wet
85,29.1,31,66.5,Wet
85.4,29.1,31,66.5,Wet
85.3,29.2,31,66.5,Wet
85.5,29.1,31,66.5,Wet
